product_key,department_tag,category_tag,subcategory_tag,market_key,Geography,Description,Time Period,Time Period End Date,UPC,Department,Category,Subcategory,Brand,Product Universe,Product Level,Attributes
PRD547821,food_and_beverage,dairy,milk,MKT4578,United States,"Organic Valley Organic Whole Milk 64oz",2024-Q2,2024-06-15,012345678901,Food & Beverage,Dairy,Milk,Organic Valley,Organic,Item,"Organic, Non-GMO"
PRD892341,food_and_beverage,dairy,cheese,MKT3621,West Coast,"Horizon Sharp Cheddar Block 8oz",2024-Q1,2024-04-20,023456789012,Food & Beverage,Dairy,Cheese,Horizon,Natural,SKU,"Gluten-Free, Natural"
PRD234567,food_and_beverage,beverages,coffee,MKT7849,East Coast,"Simply Organic Organic Ground Coffee 12oz",2024-Q3,2024-09-10,034567890123,Food & Beverage,Beverages,Coffee,Simply Organic,Organic,Brand,"Organic, Fair Trade"
PRD678912,health_and_beauty,personal_care,shampoo,MKT2156,Southwest,"Tom's of Maine Organic Shampoo 16oz",2024-Q2,2024-07-25,045678901234,Health & Beauty,Personal Care,Shampoo,Tom's of Maine,Natural,Item,"Natural, Sulfate-Free"
PRD345123,household,cleaning,detergent,MKT9876,Southeast,"Seventh Generation Laundry Detergent 64oz",2024-Q1,2024-05-12,056789012345,Household,Cleaning,Detergent,Seventh Generation,Natural,SKU,"Natural, Phosphate-Free"
PRD789456,food_and_beverage,snacks,chips,MKT1234,California,"Annie's Organic Potato Chips 5oz",2024-Q3,2024-08-30,067890123456,Food & Beverage,Snacks,Chips,Annie's,Organic,Item,"Organic, Gluten-Free"
PRD456789,baby_and_child,baby_food,purees,MKT5678,New York,"Earth's Best Organic Baby Food Apples 4oz",2024-Q2,2024-06-18,078901234567,Baby & Child,Baby Food,Purees,Earth's Best,Organic,SKU,"Organic, No Added Sugar"
PRD123890,pet_care,dog_food,dry_food,MKT8901,Texas,"Blue Buffalo Premium Dog Food 30lb",2024-Q4,2024-12-01,089012345678,Pet Care,Dog Food,Dry Food,Blue Buffalo,Premium,Brand,"Natural, No By-Products"
PRD567234,food_and_beverage,dairy,yogurt,MKT4567,Florida,"Stonyfield Greek Yogurt Vanilla 32oz",2024-Q1,2024-03-15,090123456789,Food & Beverage,Dairy,Yogurt,Stonyfield,Organic,Item,"Organic, Probiotic"
PRD891345,health_and_beauty,oral_care,toothpaste,MKT7890,Illinois,"Jason Fluoride Toothpaste 4oz",2024-Q2,2024-07-08,101234567890,Health & Beauty,Oral Care,Toothpaste,Jason,Natural,SKU,"Natural, Fluoride-Free"
PRD234678,food_and_beverage,beverages,tea,MKT2345,Pennsylvania,"Nature's Path Green Tea Bags 100ct",2024-Q3,2024-09-22,112345678901,Food & Beverage,Beverages,Tea,Nature's Path,Organic,Item,"Organic, Antioxidant"
PRD678901,household,cleaning,paper_products,MKT6789,Ohio,"Whole Foods 365 Paper Towels 8pk",2024-Q1,2024-04-05,123456789012,Household,Cleaning,Paper Products,Whole Foods 365,Private Label,SKU,"Recycled, Strong"
PRD345567,food_and_beverage,pantry,pasta,MKT9012,Georgia,"Bob's Red Mill Organic Pasta Penne 16oz",2024-Q2,2024-06-30,134567890123,Food & Beverage,Pantry,Pasta,Bob's Red Mill,Organic,Item,"Organic, Whole Grain"
PRD789123,health_and_beauty,personal_care,body_wash,MKT3456,North Carolina,"Dr. Bronner's Gentle Body Wash 18oz",2024-Q3,2024-08-14,145678901234,Health & Beauty,Personal Care,Body Wash,Dr. Bronner's,Natural,SKU,"Natural, Biodegradable"
PRD456234,baby_and_child,diapers,disposable,MKT6789,Michigan,"Honest Company Newborn Diapers 84ct",2024-Q1,2024-05-20,156789012345,Baby & Child,Diapers,Disposable,Honest Company,Premium,Brand,"Hypoallergenic, Plant-Based"
PRD123567,pet_care,cat_food,wet_food,MKT0123,New Jersey,"Wellness Canned Cat Food 24pk",2024-Q4,2024-11-18,167890123456,Pet Care,Cat Food,Wet Food,Wellness,Premium,Item,"Natural, Grain-Free"
